concept,t_count,d_count,tf,idf,tf_idf,DSI-01,DSI-02,DSI-03,DSI-04,DSI-05,DSI-06,DSI-07,DSI-08,DSI-09,DSI-10,DSI-11,DSI-12,DSI-13,DSI-14,DSI-15,DSI-16,DSI-17,DSI-18,DSI-19,DSI-20,DSI-21,DSI-22,DSI-23,DSI-24,DSI-25,DSI-26,DSI-27,DSI-28,DSI-29,DSI-30,DSI-31,DSI-32,DSI-33,DSI-34,DSI-35,DSI-36,DSI-37,DSI-38,DSI-39,DSI-40,DSI-41,DSI-42,DSI-43,DSI-44,DSI-45,DSI-46,DSI-47,DSI-48,DSI-49,DSI-50,DSI-51,DSI-52,DSI-53,DSI-54,DSI-55,DSI-56,DSI-57,DSI-58,DSI-59,DSI-60,DSI-61,DSI-62,DSI-63,DSI-64,DSI-65,DSI-66,DSI-67,DSI-68,DSI-69,DSI-70,DSI-71,DSI-72,DSI-73,DSI-74,DSI-75,DSI-76,DSI-77,DSI-78,DSI-79,DSI-80,DSI-81,DSI-82,DSI-83,DSI-84,DSI-85,DSI-86,DSI-87,DSI-88,DSI-89,DSI-90,DSI-91
americanBusiness,115,29,0.01568680943936707,58.04904192457827,0.02231751674943374,,,0.02564102564102564,0.03076923076923077,,0.014492753623188406,0.07954545454545456,,0.18045112781954886,,,,,0.013636363636363636,,0.00847457627118644,,,0.011764705882352941,,,0.007751937984496124,,0.02531645569620253,,0.07017543859649122,,,,,0.01282051282051282,0.06382978723404255,,,,,0.027777777777777776,,,,,0.014492753623188406,,,,,0.04477611940298507,,,0.06896551724137931,,0.015873015873015872,,,,,,,0.017543859649122806,0.07936507936507936,0.02564102564102564,,,0.1935483870967742,,0.006289308176100629,,,,,,0.021739130434782608,,0.007518796992481203,0.02127659574468085,0.07317073170731708,,,,,,,,,,,0.03773584905660377,,,0.1739130434782609,
arms,87,17,0.01186741235847769,91.3527455940369,0.01969862313282891,,0.14492753623188406,,,,,,,0.015037593984962405,,,,,,,0.00847457627118644,,,,,,,,0.012658227848101266,,,,,,,,,0.0125,,,,,0.02127659574468085,0.012345679012345678,,,0.014492753623188406,,,,,,0.011764705882352941,,,0.02,,,,,,,,,,,0.014388489208633094,,,,0.0440251572327044,,,,,,0.005434782608695652,,0.3458646616541353,,0.008130081300813009,,,,0.046511627906976744,,,,,,0.06,,,,,
asianNations,25,9,0.0034101759650797996,22.508496707853123,0.005549761938208042,,,,,,,,,,,,,,0.03636363636363637,,0.00847457627118644,,,,,0.0058823529411764705,,,,,,,,,,0.07692307692307693,,,,,,0.018518518518518517,0.02127659574468085,,,,,,,,,,,,,,,0.01818181818181818,,,,,,,,,,,,,0.012578616352201259,,,,,,,,,,,,,,0.015503875968992248,,,,,,,,,,,
barackObama,84,35,0.011458191242668116,36.041893906164944,0.01044109989826156,0.018518518518518517,,0.01282051282051282,,0.058823529411764705,,,0.04477611940298507,,,0.0684931506849315,0.01818181818181818,0.04285714285714286,0.004545454545454545,0.014705882352941176,0.01694915254237288,0.016483516483516484,,0.023529411764705882,0.016129032258064516,0.029411764705882353,0.015503875968992248,0.00909090909090909,0.08860759493670886,,,,0.031746031746031744,,,,0.0425531914893617,0.0125,,0.012987012987012988,,,0.010638297872340425,0.024691358024691357,,,,0.010526315789473684,,,0.03896103896103896,0.05970149253731343,,0.030120481927710843,,,,,,,,,0.008130081300813009,,,,0.014388489208633094,,,,0.01886792452830189,,0.022727272727272728,,0.04081632653061224,,,,0.03007518796992481,0.02127659574468085,,,,,,,,,,,,,0.017543859649122806,,,
borderSecurity,82,24,0.011185377165461734,19.010186154063522,0.012072829575916554,,,0.01282051282051282,,,,0.011363636363636364,0.014925373134328358,,,,,,,0.044117647058823525,0.025423728813559324,0.005494505494505495,0.08928571428571427,0.0058823529411764705,,,,,,,,0.2142857142857143,,,0.16216216216216217,,,0.037500000000000006,0.037500000000000006,,,,0.02127659574468085,,,,,,0.04285714285714286,,0.05194805194805195,,,,,0.06,,,,,,0.0125,,,,,,,,,,0.011363636363636364,,,0.061224489795918366,,0.010869565217391304,,0.007518796992481203,,,0.14035087719298245,,,,,,,0.015873015873015872,,,,,0.14583333333333331,,
borderWall,96,16,0.013095075705906416,62.825795556423984,0.017849143990035777,,,0.01282051282051282,,,,,0.029850746268656716,,,,0.09090909090909091,,,0.29411764705882354,0.0423728813559322,0.005494505494505495,0.2321428571428571,,,,,,,,,,,,0.29729729729729726,,,0.037500000000000006,,,,,,,,,,,,0.014285714285714285,0.07792207792207792,,,,,,,0.01818181818181818,,,,0.0125,,,,,,,,,,,,,0.04081632653061224,,,,,,,0.15789473684210525,,,,,,,,,,,,0.1875,,
budget,35,8,0.0047742463511117154,25.921429514175404,0.008121067911788137,,,0.01282051282051282,,,,,,,,,0.29090909090909095,,,,,,,,,,,,,,,,,,,,,0.16250000000000003,,,0.03571428571428571,0.009259259259259259,,,,,,,,,,,,,,,,,,,,,,,,,0.007194244604316547,,,,,,0.022727272727272728,,,,,,,,,,,,,,,,,,,,0.017543859649122806,,,
business,110,40,0.0150047742463511,117.74590133104532,0.02294721754640392,,0.014492753623188406,0.038461538461538464,0.03076923076923077,,0.014492753623188406,0.06818181818181819,,0.022556390977443608,,,,,0.03181818181818182,,0.025423728813559324,,,0.029411764705882353,,,0.007751937984496124,0.00909090909090909,0.012658227848101266,,,,0.015873015873015872,0.05405405405405406,0.013513513513513514,0.02564102564102564,0.0851063829787234,,,,,0.046296296296296294,,,0.023809523809523808,,,0.010526315789473684,,,,0.07462686567164178,,0.006024096385542169,0.08620689655172414,,0.015873015873015872,,,,,,0.008130081300813009,0.017543859649122806,0.047619047619047616,,,,0.016129032258064516,,,0.011363636363636364,0.045454545454545456,,,0.03389830508474576,0.02717391304347826,,0.07518796992481203,,0.04065040650406505,,0.15384615384615385,,,0.01818181818181818,,,,,,,0.017543859649122806,0.020833333333333332,0.043478260869565216,0.015151515151515152
centralAmericanNations,82,28,0.011185377165461736,19.148054774750488,0.012202081964856828,,,0.01282051282051282,,,,0.10227272727272728,0.04477611940298507,,,,,,0.004545454545454545,0.04411764705882353,0.00847457627118644,0.02197802197802198,0.07142857142857142,0.0058823529411764705,,,,,,,,,,,0.04054054054054054,0.01282051282051282,,0.0125,,,,0.009259259259259259,,,,,,,,,0.025974025974025976,0.2238805970149253,,,0.017241379310344827,,,0.03636363636363636,0.01098901098901099,,,,,,,,0.014388489208633094,,,,,0.06818181818181818,,0.10344827586206896,,,,,,,,,,0.037037037037037035,,,0.03333333333333333,,0.031746031746031744,0.08771929824561403,,,,0.020833333333333332,0.043478260869565216,0.015151515151515152
china,147,23,0.02005183467466921,27.58153390033836,0.01728500576653626,,0.028985507246376812,0.01282051282051282,,,,0.011363636363636364,0.04477611940298507,0.015037593984962405,,,,0.007142857142857143,,,0.01694915254237288,,,,,0.23529411764705888,0.015503875968992248,,,,,,,,,0.08974358974358973,,,,,,0.027777777777777776,0.0851063829787234,,,,0.33333333333333337,,,,,,0.24705882352941175,,0.034482758620689655,,,,,,,,,,,,0.014388489208633094,,,,0.006289308176100629,,,,,,0.03804347826086957,,0.007518796992481203,,,,,0.14814814814814814,0.03875968992248062,,0.16666666666666666,,0.06349206349206349,,,,,,,
