,t_count,concept,d_count,tf,idf,tf_idf,weight,DSI-01,DSI-02,DSI-03,DSI-04,DSI-05,DSI-06,DSI-07,DSI-08,DSI-09,DSI-10,DSI-11,DSI-12,DSI-13,DSI-14,DSI-15,DSI-16,DSI-17,DSI-18,DSI-19,DSI-20,DSI-21,DSI-22,DSI-23,DSI-24,DSI-25,DSI-26,DSI-27,DSI-28,DSI-29,DSI-30,DSI-31,DSI-32,DSI-33,DSI-34,DSI-35,DSI-36,DSI-37,DSI-38,DSI-39,DSI-40,DSI-41,DSI-42,DSI-43,DSI-44,DSI-45,DSI-46,DSI-47,DSI-48,DSI-49,DSI-50,DSI-51,DSI-52,DSI-53,DSI-54,DSI-55,DSI-56,DSI-57,DSI-58,DSI-59,DSI-60,DSI-61,DSI-62,DSI-63,DSI-64,DSI-65,DSI-66,DSI-67,DSI-68,DSI-69,DSI-70,DSI-71,DSI-72,DSI-73,DSI-74,DSI-75,DSI-76,DSI-77,DSI-78,DSI-79,DSI-80,DSI-81,DSI-82,DSI-83,DSI-84,DSI-85,DSI-86,DSI-87,DSI-88,DSI-89,DSI-90,DSI-91
presidentDonaldTrump,917,presidentDonaldTrump,90,0.125085254399127,0.004798882881768708,0.0006002694860976545,0.1,0.014814814814814815,0.014492753623188408,0.010256410256410256,0.023076923076923078,0.01568627450980392,0.026086956521739132,0.010227272727272729,0.016417910447761194,0.0030075187969924814,0.01509433962264151,0.012328767123287671,0.009090909090909092,0.015714285714285715,0.015454545454545455,0.01323529411764706,0.01694915254237288,0.008241758241758242,0.00892857142857143,0.00823529411764706,0.016129032258064516,0.0058823529411764705,0.012403100775193798,0.013636363636363636,0.017721518987341773,0.021052631578947368,0.010526315789473684,0.00892857142857143,0.012698412698412698,0.005405405405405406,0.010810810810810811,0.001282051282051282,0.01276595744680851,0.005000000000000001,0.013750000000000002,0.003896103896103896,0.0035714285714285713,0.005555555555555556,0.0031914893617021275,0.0024691358024691358,0.01904761904761905,0.01864406779661017,0.011594202898550725,0.0010526315789473684,0.015714285714285715,0.015714285714285715,0.014285714285714285,0.011940298507462687,0.020000000000000004,0.00783132530120482,0.0017241379310344827,0.026000000000000002,,0.02727272727272727,0.02197802197802198,0.007792207792207792,0.02448979591836735,0.03,0.014634146341463414,0.010526315789473684,0.0031746031746031746,0.016666666666666666,0.01942446043165468,0.009836065573770493,0.00967741935483871,0.03255813953488373,0.008176100628930818,0.002272727272727273,0.018181818181818184,0.01724137931034483,0.02448979591836735,0.03389830508474576,0.015760869565217394,0.02389937106918239,0.005263157894736842,0.029787234042553193,0.004878048780487806,0.005263157894736842,0.0038461538461538464,0.007407407407407408,0.003875968992248062,0.023636363636363636,0.006666666666666667,0.01791044776119403,0.007936507936507936,0.02456140350877193,0.012,0.020754716981132078,0.007017543859649123,0.0020833333333333333,0.013043478260869566,0.012121212121212123
unitedStates,162,unitedStates,54,0.022097940253717092,0.22664763249812508,0.005008445841589997,0.1,0.001851851851851852,0.013043478260869566,0.001282051282051282,,,0.0014492753623188406,0.003409090909090909,0.004477611940298508,0.0007518796992481203,,,,,0.0018181818181818182,0.0014705882352941176,0.0008474576271186442,0.0005494505494505496,0.0017857142857142857,0.0005882352941176471,0.0016129032258064516,0.007647058823529413,0.0015503875968992248,0.0009090909090909091,,0.002631578947368421,,0.00892857142857143,0.0015873015873015873,,0.002702702702702703,0.00641025641025641,,,0.00375,,,0.009259259259259259,0.0010638297872340426,,,0.006779661016949153,0.0014492753623188406,,,0.0014285714285714286,,0.0014925373134328358,0.004705882352941177,0.0006024096385542169,0.008620689655172415,,0.004761904761904762,0.016363636363636365,,0.001298701298701299,0.002040816326530612,,0.0008130081300813009,0.0017543859649122807,0.0015873015873015873,,0.0021582733812949644,0.0016393442622950822,,0.002325581395348837,0.006918238993710692,0.013636363636363636,,0.0017241379310344827,,0.0016949152542372883,0.0010869565217391304,0.000628930817610063,0.0037593984962406013,,,,,,0.0069767441860465115,,,,0.0015873015873015873,0.007017543859649123,0.004,,,,0.0014492753623188406,
republican,109,republican,31,0.01486836720774792,0.46767969848682095,0.006953633492710883,0.1,0.001851851851851852,0.0014492753623188406,,0.0015384615384615387,,,,0.0029850746268656717,0.0007518796992481203,0.0018867924528301887,,0.005454545454545455,,,0.0058823529411764705,0.0008474576271186442,,0.007142857142857143,,,0.0005882352941176471,0.002325581395348837,,,0.002631578947368421,,,,,,,,,,0.006493506493506493,,,,0.011111111111111112,0.002380952380952381,0.00847457627118644,,0.012631578947368423,,,,0.0029850746268656717,,0.012650602409638554,,,,,,0.001298701298701299,,,,0.0017543859649122807,0.0015873015873015873,,,0.009836065573770493,,,,,,,0.008163265306122448,,,,0.0015037593984962407,,,,,,,0.0036363636363636364,,0.0029850746268656717,,,,0.0018867924528301887,,,0.0014492753623188406,0.012121212121212123
china,102,china,23,0.013913517937525577,0.5973135563035007,0.00831073287995595,1.0,,0.028985507246376812,0.01282051282051282,,,,0.011363636363636364,0.029850746268656716,0.015037593984962405,,,,0.007142857142857143,,,0.00847457627118644,,,,,0.17058823529411765,0.015503875968992248,,,,,,,,,0.0641025641025641,,,,,,0.027777777777777776,0.031914893617021274,,,,0.13043478260869565,,,,,,0.18823529411764706,,0.034482758620689655,,,,,,,,,,,,0.007194244604316547,,,,0.006289308176100629,,,,,,0.03804347826086957,,0.007518796992481203,,,,,0.1111111111111111,0.023255813953488372,,0.13333333333333333,,0.047619047619047616,,,,,,,
north korea,75,northSouthKorea,10,0.010230527895239394,0.9590413923210935,0.009811499716830175,4.0,,,,,,,,,,,,,0.02857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,0.46808510638297873,,,,0.34782608695652173,,,,,,0.611764705882353,,,0.32,,0.07272727272727272,,,,,,,,,0.2014388489208633,,,,0.3270440251572327,,,,,,,,,,,,,,0.5271317829457365,,,,0.12698412698412698,,,,,,,
state,65,unitedStates,29,0.008866457509207474,0.4966433944221375,0.004403467553872451,1.0,,,,,0.0392156862745098,0.014492753623188406,,,0.007518796992481203,,,,0.007142857142857143,,,0.00847457627118644,0.08791208791208792,,0.011764705882352941,,,,,0.012658227848101266,,,0.14285714285714285,0.031746031746031744,,,,,0.025,,,0.03571428571428571,,0.010638297872340425,,,0.01694915254237288,,0.021052631578947368,,0.014285714285714285,,,0.011764705882352941,0.006024096385542169,,,,,0.08791208791208792,0.012987012987012988,,,,,,,,0.01639344262295082,,,0.006289308176100629,,,,,,,0.006289308176100629,0.007518796992481203,,0.008130081300813009,,,,0.015503875968992248,0.01818181818181818,,,,,,,0.03508771929824561,,,0.015151515151515152
russia,65,europeanNation,15,0.008866457509207474,0.7829501332654123,0.0069419940884261075,4.0,,0.2318840579710145,,,,,,,,,0.273972602739726,,0.37142857142857144,,,0.03389830508474576,,,,,,0.43410852713178294,0.07272727272727272,,,0.2807017543859649,,,,,,,,,,,,,,,0.13559322033898305,,,,,,,,,,,,0.14545454545454545,,,,,0.06504065040650407,,,0.3076923076923077,,,,,,,,,,,,0.10062893081761007,0.03007518796992481,,,,,,0.09302325581395349,,,0.11940298507462686,,,,,,,,
democrat,65,democrat,27,0.008866457509207474,0.5276776281621063,0.004678631268658697,0.1,,,,,,,,0.0014925373134328358,0.0015037593984962407,0.007547169811320755,,0.0018181818181818182,0.0007142857142857143,,0.0029411764705882353,,0.0027472527472527475,0.007142857142857143,,,,0.0015503875968992248,,,,,,,,,,,,,0.003896103896103896,,,,0.009876543209876543,0.0035714285714285713,0.005084745762711865,,,,,,0.0014925373134328358,,0.0018072289156626507,,,,,0.0010989010989010991,,,0.005000000000000001,,,0.0015873015873015873,0.001282051282051282,,0.0016393442622950822,,,,0.0011363636363636365,,0.0017241379310344827,0.008163265306122448,0.0016949152542372883,,,,,,0.0017543859649122807,,,,,,0.004477611940298508,,,,,,,,0.004545454545454546
white house,63,trumpAdministration,25,0.008593643432001091,0.561101383649056,0.004821905220282435,1.0,,,0.01282051282051282,0.015384615384615385,,,,,,,,,,0.004545454545454545,,,,,,,,,,0.02531645569620253,0.02631578947368421,,,,,,,,,0.0125,0.012987012987012988,,,,,,,,,,,,,,0.006024096385542169,,0.02,,,0.02197802197802198,,,0.0375,0.06504065040650407,,,,,,0.06451612903225806,0.09302325581395349,0.025157232704402517,,,,0.04081632653061224,0.06779661016949153,0.010869565217391304,0.025157232704402517,0.007518796992481203,,0.008130081300813009,0.017543859649122806,,,,0.09090909090909091,,,,0.12280701754385964,0.02,,,,,
administration,62,trumpAdministration,36,0.0084572363933979,0.4027388915538063,0.0034060580106855805,1.0,,,0.01282051282051282,0.015384615384615385,0.0196078431372549,,0.011363636363636364,,,,,,,,,,0.016483516483516484,0.017857142857142856,,0.03225806451612903,,0.007751937984496124,0.01818181818181818,0.02531645569620253,0.02631578947368421,,,0.031746031746031744,0.02702702702702703,0.013513513513513514,0.02564102564102564,,0.025,0.0125,,0.03571428571428571,,,,0.011904761904761904,,0.014492753623188406,,0.02857142857142857,,0.012987012987012988,0.014925373134328358,0.011764705882352941,,,,,,,0.05194805194805195,,,,,,,0.014388489208633094,,0.016129032258064516,,,,0.022727272727272728,,,,,0.012578616352201259,0.03007518796992481,,0.008130081300813009,0.07017543859649122,0.057692307692307696,,,0.09090909090909091,,,,,,,,0.020833333333333332,,0.015151515151515152
